@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R6-9-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R3

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
0.5,0.2,0.266667,0.672727,East
0.5625,0.2,0.2,0.671074,East
0.5625,0.133333,0.133333,0.669421,South
0.5625,0.066667,0.066667,0.667769,South
0.5625,0,0,0.666116,South
0.625,0,0.466667,0.995041,East
0.625,0.066667,0.4,0.993388,North
0.6875,0.066667,0.333333,0.991736,East
0.6875,0.133333,0.266667,0.990083,North
0.6875,0.2,0.2,0.98843,North
0.75,0.2,0.133333,0.986777,East
0.8125,0.2,0.066667,0.985124,East
0.875,0.2,0,0.983471,East
0.6875,0.466667,0.133333,0.031405,Stop
0.6875,0.533333,0.133333,0.029752,North
0.6875,0.6,0.133333,0.028099,North
0.75,0.6,0.066667,0.026446,East
0.75,0.533333,0.066667,0.024793,South
0.8125,0.533333,0.333333,0.353719,East
0.8125,0.466667,0.333333,0.352066,South
0.8125,0.4,0.266667,0.350413,South
0.8125,0.333333,0.2,0.34876,South
0.75,0.333333,0.2,0.347107,West
0.75,0.4,0.2,0.345455,North
0.75,0.333333,0.066667,0.343802,South
0.6875,0.333333,0.466667,0.672727,West
0.6875,0.266667,0.333333,0.671074,South
0.625,0.266667,0.2,0.669421,West
0.5625,0.266667,0.133333,0.667769,West
0.5,0.266667,0.133333,0.666116,West
0.5,0.2,0.133333,0.664463,South
0.5,0.266667,0.133333,0.66281,North
0.5,0.333333,0.133333,0.661157,North
0.4375,0.333333,0.133333,0.659504,West
0.4375,0.266667,0.066667,0.657851,South
0.375,0.266667,0.066667,0.656198,West
0.3125,0.266667,0,0.654545,West
0.25,0.266667,0.2,0.983471,West
0.25,0.2,0.066667,0.981818,South
0.1875,0.2,0.066667,0.980165,West
0,0.2,0.4,0.031405,Stop
0,0.133333,0.4,0.029752,South
0.0625,0.133333,0.333333,0.028099,East
0.0625,0.2,0.2,0.026446,North
0.125,0.2,0.066667,0.024793,East
0.1875,0.2,0.066667,0.02314,East
0.25,0.2,0.066667,0.021488,East
0.3125,0.2,0.066667,0.019835,East
0.3125,0.133333,0.133333,0.34876,South
0.3125,0.066667,0.133333,0.347107,South
0.3125,0,0.133333,0.345455,South
0.375,0,0.066667,0.343802,East
0.4375,0,0,0.342149,East
0.5,0,0.133333,0.671074,East
0.5,0.066667,0.133333,0.669421,North
0.5,0,0.066667,0.667769,South
0.4375,0,0.533333,0.996694,West
0.4375,0.066667,0.466667,0.995041,North
0.4375,0.133333,0.466667,0.993388,North
0.5,0.133333,0.466667,0.991736,East
0.5,0.066667,0.4,0.990083,South
0.5,0,0.4,0.98843,South
0.5625,0,0.333333,0.986777,East
0.5625,0.066667,0.333333,0.985124,North
0.625,0.066667,0.266667,0.983471,East
0.625,0,0.266667,0.981818,South
0.6875,0,0.266667,0.980165,East
0.75,0,0.266667,0.978512,East
0.75,0.066667,0.133333,0.97686,North
0.75,0.066667,0.133333,0.975207,North
0.75,0.066667,0.2,0.973554,North
0.75,0.066667,0.133333,0.971901,North
