@RELATION pacman_info
   @ATTRIBUTE pacmanX NUMERIC
   @ATTRIBUTE pacmanY NUMERIC
   @ATTRIBUTE livingGhosts NUMERIC
   @ATTRIBUTE minGhost NUMERIC
   @ATTRIBUTE ticks NUMERIC
   @ATTRIBUTE class {Stop, North, South, East, West}

@data
3,8,4,1,5,East
4,8,3,3,6,East
4,9,3,3,7,North
5,9,3,1,8,East
5,10,2,7,9,North
5,9,2,5,10,South
5,8,2,5,11,South
5,7,2,5,12,South
6,7,2,3,13,East
7,7,2,3,14,East
8,7,2,2,15,East
8,6,2,2,16,South
8,5,2,1,17,South
9,5,1,7,18,East
9,4,1,5,19,South
10,4,1,5,20,East
11,4,1,5,21,East
11,5,1,4,22,North
12,5,1,4,23,East
13,5,1,4,24,East
14,5,1,4,25,East
14,6,1,2,26,North
14,7,1,1,27,North
1,11,4,7,0,Stop
1,10,4,5,1,South
1,10,4,5,2,South
1,10,4,4,3,South
1,10,4,4,4,South
1,10,4,5,5,South
1,11,4,5,6,North
2,11,4,5,7,East
3,11,4,3,8,East
4,11,4,3,9,East
5,11,4,2,10,East
5,10,4,2,11,South
5,9,4,2,12,South
5,8,3,4,13,South
5,7,3,2,14,South
6,7,3,1,15,East
7,7,2,9,16,East
7,8,2,9,17,North
7,9,2,9,18,North
8,9,2,7,19,East
9,9,2,7,20,East
10,9,2,7,21,East
10,10,2,5,22,North
10,11,2,5,23,North
11,11,2,4,24,East
12,11,2,4,25,East
13,11,2,4,26,East
14,11,2,4,27,East
15,11,2,2,28,East
16,11,2,2,29,East
17,11,2,1,30,East
18,11,1,11,31,East
18,10,1,9,32,South
18,9,1,7,33,South
18,8,1,7,34,South
18,7,1,7,35,South
18,6,1,7,36,South
18,5,1,6,37,South
18,4,1,5,38,South
18,3,1,5,39,South
17,3,1,4,40,West
16,3,1,3,41,West
15,3,1,1,42,West
1,11,4,7,0,Stop
1,10,4,6,1,South
1,9,4,5,2,South
2,9,4,3,3,East
3,9,4,3,4,East
4,9,4,1,5,East
5,9,3,4,6,East
5,8,3,4,7,South
5,7,3,3,8,South
6,7,3,5,9,East
5,7,3,5,10,West
4,7,3,3,11,West
3,7,3,3,12,West
4,7,3,5,13,East
3,7,3,3,14,West
4,7,3,5,15,East
3,7,3,5,16,West
2,7,3,4,17,West
3,7,3,4,18,East
2,7,3,4,19,West
1,7,3,4,20,West
1,6,3,3,21,South
1,5,3,3,22,South
1,4,3,1,23,South
2,4,2,13,24,East
2,5,2,13,25,North
