@RELATION pacman_info
   @ATTRIBUTE pacmanX NUMERIC
   @ATTRIBUTE pacmanY NUMERIC
   @ATTRIBUTE livingGhosts NUMERIC
   @ATTRIBUTE minGhost NUMERIC
   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE pacmanX2 NUMERIC
   @ATTRIBUTE pacmanY2 NUMERIC
   @ATTRIBUTE livingGhosts2 NUMERIC
   @ATTRIBUTE score2 NUMERIC
   @ATTRIBUTE class {Stop, North, South, East, West}

@data
8,4,2,7,370,8,4,2,369,North
8,4,2,6,369,8,4,2,368,North
8,4,2,7,368,8,4,2,367,North
8,4,2,7,367,7,4,2,366,North
7,4,2,6,366,6,4,2,365,West
6,4,2,6,365,5,4,2,364,West
5,4,2,4,364,4,4,2,363,West
4,4,2,2,363,3,4,2,362,West
3,4,2,1,362,2,4,1,561,West
2,4,1,13,561,3,4,1,560,West
3,4,1,11,560,4,4,1,559,East
4,4,1,11,559,5,4,1,558,East
5,4,1,10,558,6,4,1,557,East
6,4,1,9,557,7,4,1,556,East
7,4,1,7,556,8,4,1,555,East
8,4,1,7,555,9,4,1,554,East
9,4,1,7,554,10,4,1,553,East
10,4,1,6,553,11,4,1,552,East
11,4,1,4,552,12,4,1,551,East
12,4,1,4,551,13,4,1,550,East
13,4,1,3,550,14,4,1,549,East
14,4,1,3,549,15,4,1,548,East
15,4,1,2,548,16,4,1,547,East
16,4,1,1,547,17,4,1,546,East
17,4,1,2,546,18,4,1,545,East
18,4,1,2,545,18,5,1,544,East
18,5,1,4,544,18,6,1,543,North
18,6,1,6,543,17,6,1,542,North
17,6,1,4,542,16,6,1,541,West
16,6,1,2,541,15,6,1,540,West
15,6,1,2,540,14,6,1,539,West
14,6,1,3,539,14,5,1,538,West
14,5,1,1,538,14,4,0,737,South
1,6,4,7,0,1,6,4,-1,Stop
1,6,4,7,-1,1,6,4,-2,Stop
1,6,4,7,-2,1,6,4,-3,Stop
1,6,4,7,-3,2,6,4,-4,Stop
2,6,4,6,-4,3,6,4,-5,East
3,6,4,5,-5,4,6,4,-6,East
4,6,4,4,-6,5,6,4,-7,East
5,6,4,3,-7,6,6,4,-8,East
6,6,4,2,-8,7,6,4,-9,East
7,6,4,1,-9,8,6,3,190,East
8,6,3,4,190,9,6,3,189,East
9,6,3,5,189,10,6,3,188,East
10,6,3,4,188,11,6,3,187,East
11,6,3,3,187,12,6,3,186,East
12,6,3,4,186,13,6,3,185,East
13,6,3,3,185,14,6,3,184,East
14,6,3,2,184,15,6,3,183,East
15,6,3,1,183,16,6,2,382,East
16,6,2,8,382,16,5,2,381,East
16,5,2,7,381,16,4,2,380,South
16,4,2,6,380,16,3,2,379,South
16,3,2,5,379,15,3,2,378,South
15,3,2,4,378,14,3,2,377,West
14,3,2,3,377,13,3,2,376,West
13,3,2,2,376,12,3,2,375,West
12,3,2,1,375,11,3,1,574,West
11,3,1,6,574,10,3,1,573,West
10,3,1,5,573,9,3,1,572,West
9,3,1,4,572,8,3,1,571,West
8,3,1,3,571,7,3,1,570,West
7,3,1,2,570,6,3,1,569,West
6,3,1,1,569,6,4,0,768,West
