@relation 'pacman_info-weka.filters.unsupervised.attribute.Remove-R4,22,24-weka.filters.supervised.attribute.ClassOrder-R1-C0'

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute width numeric
@attribute g1Living {True,False}
@attribute g2Living {True,False}
@attribute g3Living {True,False}
@attribute g4Living {True,False}
@attribute livingGhosts numeric
@attribute g1X numeric
@attribute g1Y numeric
@attribute g2X numeric
@attribute g2Y numeric
@attribute g3X numeric
@attribute g3Y numeric
@attribute g4X numeric
@attribute g4Y numeric
@attribute g1D numeric
@attribute g2D numeric
@attribute g3D numeric
@attribute g4D numeric
@attribute score numeric
@attribute class {Stop,North,West,South,East}

@data
1,11,27,True,True,True,True,4,5,9,11,3,17,6,25,13,6,18,21,26,-8,South
1,10,27,True,True,True,True,4,5,9,11,3,17,6,25,13,5,17,20,27,-9,South
1,9,27,True,True,True,True,4,5,9,11,3,17,6,25,13,4,16,19,28,-10,South
1,8,27,True,True,True,True,4,5,9,11,3,17,6,25,13,5,15,18,29,-11,South
1,7,27,True,True,True,True,4,5,9,11,3,17,6,25,13,6,14,17,30,-12,South
1,6,27,True,True,True,True,4,5,9,11,3,17,6,25,13,7,13,16,31,-13,South
2,6,27,True,True,True,True,4,5,9,11,3,17,6,25,13,6,12,15,30,-14,East
3,6,27,True,True,True,True,4,5,9,11,3,17,6,25,13,5,11,14,29,-15,East
4,6,27,True,True,True,True,4,5,9,11,3,17,6,25,13,4,10,13,28,-16,East
5,6,27,True,True,True,True,4,5,9,11,3,17,6,25,13,3,9,12,27,-17,East
5,7,27,True,True,True,True,4,5,9,11,3,17,6,25,13,2,10,13,26,-18,North
5,8,27,True,True,True,True,4,5,9,11,3,17,6,25,13,1,11,14,25,-19,North
5,9,27,False,True,True,True,3,1,1,11,3,17,6,25,13,-1,12,15,24,180,North
5,8,27,False,True,True,True,3,1,1,11,3,17,6,25,13,-1,11,14,25,179,South
5,7,27,False,True,True,True,3,1,1,11,3,17,6,25,13,-1,10,13,26,178,South
5,6,27,False,True,True,True,3,1,1,11,3,17,6,25,13,-1,9,12,27,177,South
5,5,27,False,True,True,True,3,1,1,11,3,17,6,25,13,-1,8,13,28,176,South
5,4,27,False,True,True,True,3,1,1,11,3,17,6,25,13,-1,7,14,29,175,South
5,3,27,False,True,True,True,3,1,1,11,3,17,6,25,13,-1,6,15,30,174,South
6,3,27,False,True,True,True,3,1,1,11,3,17,6,25,13,-1,5,14,29,173,East
7,3,27,False,True,True,True,3,1,1,11,3,17,6,25,13,-1,4,13,28,172,East
8,3,27,False,True,True,True,3,1,1,11,3,17,6,25,13,-1,3,12,27,171,East
9,3,27,False,True,True,True,3,1,1,11,3,17,6,25,13,-1,2,11,26,170,East
10,3,27,False,True,True,True,3,1,1,11,3,17,6,25,13,-1,1,10,25,169,East
11,3,27,False,False,True,True,2,1,1,3,1,17,6,25,13,-1,-1,9,24,368,East
11,4,27,False,False,True,True,2,1,1,3,1,17,6,25,13,-1,-1,8,23,367,North
11,5,27,False,False,True,True,2,1,1,3,1,17,6,25,13,-1,-1,7,22,366,North
11,6,27,False,False,True,True,2,1,1,3,1,17,6,25,13,-1,-1,6,21,365,North
11,7,27,False,False,True,True,2,1,1,3,1,17,6,25,13,-1,-1,7,20,364,North
11,8,27,False,False,True,True,2,1,1,3,1,17,6,25,13,-1,-1,8,19,363,North
11,9,27,False,False,True,True,2,1,1,3,1,17,6,25,13,-1,-1,9,18,362,North
11,10,27,False,False,True,True,2,1,1,3,1,17,6,25,13,-1,-1,10,17,361,North
11,11,27,False,False,True,True,2,1,1,3,1,17,6,25,13,-1,-1,11,16,360,North
11,12,27,False,False,True,True,2,1,1,3,1,17,6,25,13,-1,-1,12,15,359,North
12,12,27,False,False,True,True,2,1,1,3,1,17,6,25,13,-1,-1,11,14,358,East
13,12,27,False,False,True,True,2,1,1,3,1,17,6,25,13,-1,-1,10,13,357,East
14,12,27,False,False,True,True,2,1,1,3,1,17,6,25,13,-1,-1,9,12,356,East
14,11,27,False,False,True,True,2,1,1,3,1,17,6,25,13,-1,-1,8,13,355,South
14,10,27,False,False,True,True,2,1,1,3,1,17,6,25,13,-1,-1,7,14,354,South
14,9,27,False,False,True,True,2,1,1,3,1,17,6,25,13,-1,-1,6,15,353,South
14,8,27,False,False,True,True,2,1,1,3,1,17,6,25,13,-1,-1,5,16,352,South
14,7,27,False,False,True,True,2,1,1,3,1,17,6,25,13,-1,-1,4,17,351,South
14,6,27,False,False,True,True,2,1,1,3,1,17,6,25,13,-1,-1,3,18,350,South
15,6,27,False,False,True,True,2,1,1,3,1,17,6,25,13,-1,-1,2,17,349,East
16,6,27,False,False,True,True,2,1,1,3,1,17,6,25,13,-1,-1,1,16,348,East
17,6,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,15,547,East
18,6,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,14,546,East
19,6,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,13,545,East
20,6,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,12,544,East
21,6,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,11,543,East
22,6,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,10,542,East
23,6,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,9,541,East
23,7,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,8,540,North
23,8,27,False,False,False,True,1,1,1,3,1,5,1,25,13,-1,-1,-1,7,539,North
