@relation pacman_info-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute x numeric
@attribute y numeric
@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute livingGhosts numeric
@attribute minGhost numeric
@attribute score numeric
@attribute class {Stop,North,South,East,West}

@data
0,0.666667,0.481481,0.5625,0.333333,0.363636,0.627451,South
0,0.666667,0.481481,0.5,0.333333,0.272727,0.625817,South
0,0.666667,0.481481,0.4375,0.333333,0.181818,0.624183,South
0,0.666667,0.481481,0.375,0.333333,0.090909,0.622549,South
0,0.666667,0.481481,0.3125,0.333333,0,0.620915,South
0,0.666667,0.481481,0.25,0.333333,0.090909,0.619281,South
0,0.666667,0.518519,0.25,0.333333,0,0.617647,East
0,0.666667,0.555556,0.25,0.333333,0,0.616013,East
0,0.666667,0.555556,0.3125,0,0.590909,0.941176,North
0,0.666667,0.518519,0.3125,0,0.590909,0.939542,West
0,0.666667,0.481481,0.3125,0,0.545455,0.937908,West
0,0.666667,0.444444,0.3125,0,0.545455,0.936275,West
0,0.666667,0.407407,0.3125,0,0.545455,0.934641,West
0,0.666667,0.37037,0.3125,0,0.454545,0.933007,West
0,0.666667,0.333333,0.3125,0,0.409091,0.931373,West
0,0.666667,0.296296,0.3125,0,0.363636,0.929739,West
0,0.666667,0.259259,0.3125,0,0.363636,0.928105,West
0,0.666667,0.222222,0.3125,0,0.272727,0.926471,West
0,0.666667,0.185185,0.3125,0,0.272727,0.924837,West
0,0.666667,0.148148,0.3125,0,0.181818,0.923203,West
0,0.666667,0.111111,0.3125,0,0.090909,0.921569,West
0,0.666667,0.074074,0.3125,0,0.045455,0.919935,West
0,0.666667,0.074074,0.375,0,0,0.918301,North
0,0.666667,0.407407,0.5,1,0.090909,0.053922,Stop
0,0.666667,0.407407,0.5,1,0.090909,0.052288,Stop
0,0.666667,0.407407,0.5,1,0.090909,0.050654,Stop
0,0.666667,0.407407,0.5,1,0.045455,0.04902,Stop
0,0.666667,0.407407,0.5,1,0.090909,0.047386,Stop
0,0.666667,0.444444,0.5,1,0,0.045752,East
0,0.666667,0.481481,0.5,1,0.090909,0.044118,East
0,0.666667,0.518519,0.5,1,0.090909,0.042484,East
0,0.666667,0.518519,0.5625,1,0.090909,0.04085,North
0,0.666667,0.518519,0.625,1,0.045455,0.039216,North
0,0.666667,0.481481,0.625,1,0.045455,0.037582,West
0,0.666667,0.444444,0.625,1,0.045455,0.035948,West
0,0.666667,0.407407,0.625,1,0.045455,0.034314,West
0,0.666667,0.37037,0.625,1,0.045455,0.03268,West
0,0.666667,0.333333,0.625,1,0.136364,0.031046,West
0,0.666667,0.296296,0.625,1,0.136364,0.029412,West
0,0.666667,0.259259,0.625,1,0.045455,0.027778,West
0,0.666667,0.222222,0.625,1,0,0.026144,West
0,0.666667,0.185185,0.625,0.666667,0.227273,0.351307,West
0,0.666667,0.148148,0.625,0.666667,0.227273,0.349673,West
0,0.666667,0.185185,0.625,0.666667,0.227273,0.348039,East
0,0.666667,0.222222,0.625,0.666667,0.136364,0.346405,East
0,0.666667,0.259259,0.625,0.666667,0.136364,0.344771,East
0,0.666667,0.296296,0.625,0.666667,0.136364,0.343137,East
0,0.666667,0.333333,0.625,0.666667,0.045455,0.341503,East
0,0.666667,0.37037,0.625,0.333333,0.136364,0.666667,East
0,0.666667,0.37037,0.6875,0.333333,0.136364,0.665033,North
0,0.666667,0.407407,0.6875,0.333333,0.136364,0.663399,East
0,0.666667,0.444444,0.6875,0.333333,0.090909,0.661765,East
0,0.666667,0.481481,0.6875,0.333333,0.045455,0.660131,East
0,0.666667,0.481481,0.625,0.333333,0.045455,0.658497,South
0,0.666667,0.481481,0.5625,0.333333,0.090909,0.656863,South
0,0.666667,0.518519,0.5625,0.333333,0.090909,0.655229,East
0,0.666667,0.555556,0.5625,0.333333,0.136364,0.653595,East
0,0.666667,0.555556,0.625,0.333333,0.136364,0.651961,North
0,0.666667,0.518519,0.625,0.333333,0.045455,0.650327,West
0,0.666667,0.481481,0.625,0.333333,0.045455,0.648693,West
0,0.666667,0.444444,0.625,0.333333,0,0.647059,West
0,0.666667,0.407407,0.625,0.333333,0.090909,0.645425,West
0,0.666667,0.37037,0.625,0.333333,0.181818,0.643791,West
0,0.666667,0.333333,0.625,0.333333,0.272727,0.642157,West
0,0.666667,0.37037,0.625,0.333333,0.181818,0.640523,East
0,0.666667,0.407407,0.625,0.333333,0.090909,0.638889,East
0,0.666667,0.407407,0.6875,0.333333,0.045455,0.637255,North
0,0.666667,0.407407,0.75,0.333333,0.045455,0.635621,North
0,0.666667,0.444444,0.75,0.333333,0,0.633987,East
0,0.666667,0.444444,0.6875,0.333333,0.090909,0.632353,South
0,0.666667,0.444444,0.625,0.333333,0.136364,0.630719,South
0,0.666667,0.444444,0.5625,0.333333,0.136364,0.629085,South
0,0.666667,0.444444,0.625,0.333333,0.045455,0.627451,North
0,0.666667,0.481481,0.625,0.333333,0,0.625817,East
0,0.666667,0.518519,0.625,0.333333,0.090909,0.624183,East
0,0.666667,0.555556,0.625,0.333333,0.090909,0.622549,East
0,0.666667,0.518519,0.625,0.333333,0.090909,0.620915,West
0,0.666667,0.518519,0.6875,0.333333,0.045455,0.619281,North
0,0.666667,0.518519,0.75,0,0.954545,0.944444,North
0,0.666667,0.518519,0.75,0,1,0.94281,North
0,0.666667,0.481481,0.75,0,0.909091,0.941176,West
0,0.666667,0.444444,0.75,0,0.909091,0.939542,West
0,0.666667,0.407407,0.75,0,0.818182,0.937908,West
0,0.666667,0.407407,0.6875,0,0.727273,0.936275,South
0,0.666667,0.407407,0.625,0,0.636364,0.934641,South
0,0.666667,0.37037,0.625,0,0.636364,0.933007,West
0,0.666667,0.333333,0.625,0,0.636364,0.931373,West
0,0.666667,0.333333,0.5625,0,0.636364,0.929739,South
0,0.666667,0.333333,0.5,0,0.636364,0.928105,South
0,0.666667,0.333333,0.4375,0,0.636364,0.926471,South
0,0.666667,0.333333,0.375,0,0.590909,0.924837,South
0,0.666667,0.333333,0.3125,0,0.5,0.923203,South
0,0.666667,0.333333,0.25,0,0.5,0.921569,South
0,0.666667,0.333333,0.1875,0,0.409091,0.919935,South
0,0.666667,0.333333,0.125,0,0.409091,0.918301,South
0,0.666667,0.296296,0.125,0,0.318182,0.916667,West
0,0.666667,0.259259,0.125,0,0.318182,0.915033,West
0,0.666667,0.222222,0.125,0,0.272727,0.913399,West
0,0.666667,0.185185,0.125,0,0.227273,0.911765,West
0,0.666667,0.148148,0.125,0,0.136364,0.910131,West
0,0.666667,0.111111,0.125,0,0.090909,0.908497,West
0,0.666667,0.074074,0.125,0,0.090909,0.906863,West
0,0.666667,0.037037,0.125,0,0,0.905229,West
0,0.666667,0,0.125,0,0,0.903595,West
0,0.666667,0,0.125,0,0.045455,0.901961,West
0,0.666667,0,0.125,0,0.045455,0.900327,West
0,0.666667,0.037037,0.125,0,0.045455,0.898693,East
0,0.666667,0.074074,0.125,0,0.045455,0.897059,East
0,0.666667,0.111111,0.125,0,0.090909,0.895425,East
0,0.666667,0.148148,0.125,0,0.181818,0.893791,East
0,0.666667,0.185185,0.125,0,0.181818,0.892157,East
0,0.666667,0.148148,0.125,0,0.090909,0.890523,West
0,0.666667,0.148148,0.1875,0,0,0.888889,North
0,0.666667,0.148148,0.25,0,0,0.887255,North
0,0.666667,0.148148,0.3125,0,0.045455,0.885621,North
0,0.666667,0.111111,0.3125,0,0.045455,0.883987,West
0,0.666667,0.111111,0.25,0,0.045455,0.882353,South
0,0.666667,0.148148,0.25,0,0.045455,0.880719,East
0,0.666667,0.185185,0.25,0,0.045455,0.879085,East
0,0.666667,0.222222,0.25,0,0.045455,0.877451,East
0,0.666667,0.222222,0.3125,0,0.136364,0.875817,North
