@relation pacman_info-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.supervised.attribute.MergeNominalValues-L0.05-Rfirst-last-weka.filters.supervised.attribute.MergeNominalValues-L0.05-Rfirst-last-weka.filters.supervised.attribute.ClassOrder-R1-C0-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R15

@attribute pacmanX numeric
@attribute pacmanY numeric
@attribute width numeric
@attribute g2Living {True,False}
@attribute g4Living {True,False}
@attribute livingGhosts numeric
@attribute g1Y numeric
@attribute g2X numeric
@attribute g2Y numeric
@attribute g3X numeric
@attribute g4X numeric
@attribute g4Y numeric
@attribute g1D numeric
@attribute g2D numeric
@attribute g4D numeric
@attribute score numeric
@attribute class {Stop,North,West,South,East}

@data
6,6,20,False,False,1,1,3,1,13,7,1,-1,-1,-1,574,East
7,6,20,False,False,1,1,3,1,13,7,1,-1,-1,-1,573,East
8,6,20,False,False,1,1,3,1,13,7,1,-1,-1,-1,572,East
9,6,20,False,False,1,1,3,1,13,7,1,-1,-1,-1,571,East
10,6,20,False,False,1,1,3,1,13,7,1,-1,-1,-1,570,East
11,6,20,False,False,1,1,3,1,13,7,1,-1,-1,-1,569,East
12,6,20,False,False,1,1,3,1,13,7,1,-1,-1,-1,568,East
1,10,20,True,True,4,5,7,7,9,14,7,9,9,16,-3,South
1,9,20,True,True,4,5,7,8,9,15,7,8,7,16,-4,South
2,9,20,True,True,4,5,7,7,9,16,7,8,7,16,-5,East
3,9,20,True,True,4,4,6,7,10,16,7,8,5,15,-6,East
4,9,20,True,True,4,4,7,7,11,17,7,8,5,15,-7,East
5,9,20,True,True,4,4,6,7,10,16,7,8,3,13,-8,East
5,8,20,True,True,4,4,7,7,10,16,7,6,3,12,-9,South
5,7,20,True,True,4,4,8,7,11,16,7,5,3,11,-10,South
6,7,20,True,True,4,4,8,7,11,16,7,3,2,10,-11,East
7,7,20,True,True,4,3,9,7,11,17,7,5,2,10,-12,East
8,7,20,False,True,3,4,3,1,10,17,8,5,-1,10,187,East
9,7,20,False,True,3,4,3,1,9,17,9,5,-1,10,186,East
9,8,20,False,True,3,5,3,1,9,17,9,5,-1,9,185,North
9,9,20,False,True,3,5,3,1,10,17,9,5,-1,8,184,North
10,9,20,False,True,3,5,3,1,11,17,8,6,-1,8,183,East
10,10,20,False,True,3,4,3,1,11,17,8,8,-1,9,182,North
10,11,20,False,True,3,4,3,1,11,18,8,10,-1,11,181,North
11,11,20,False,True,2,3,3,1,5,17,8,12,-1,9,380,East
11,10,20,False,True,2,3,3,1,5,18,8,10,-1,9,379,South
11,9,20,False,True,2,3,3,1,5,18,8,9,-1,8,378,South
12,9,20,False,True,2,3,3,1,5,18,9,11,-1,6,377,East
13,9,20,False,True,2,3,3,1,5,18,10,13,-1,6,376,East
14,9,20,False,True,2,4,3,1,5,18,9,13,-1,4,375,East
15,9,20,False,True,2,3,3,1,5,18,10,15,-1,4,374,East
16,9,20,False,True,2,4,3,1,5,18,9,15,-1,2,373,East
17,9,20,False,True,2,4,3,1,5,18,8,16,-1,2,372,East
18,9,20,False,True,2,4,3,1,5,17,8,16,-1,2,371,East
18,10,20,False,True,2,3,3,1,5,18,8,18,-1,2,370,North
18,9,20,False,True,2,3,3,1,5,17,8,16,-1,2,369,South
18,8,20,False,True,2,4,3,1,5,17,7,14,-1,2,368,South
17,8,20,False,True,2,4,3,1,5,17,7,12,-1,1,367,West
16,8,20,False,True,2,5,3,1,5,16,7,10,-1,1,366,West
15,8,20,False,True,2,6,3,1,5,16,7,8,-1,2,365,West
15,7,20,False,True,2,6,3,1,5,16,8,8,-1,2,364,South
16,7,20,False,False,1,5,3,1,5,7,1,10,-1,-1,563,East
17,7,20,False,False,1,5,3,1,5,7,1,11,-1,-1,562,East
17,8,20,False,False,1,4,3,1,5,7,1,13,-1,-1,561,North
17,9,20,False,False,1,4,3,1,5,7,1,14,-1,-1,560,North
